Index	Name	1	2	3	4	5	6
1	A0	3.98	3.98	3.99	4.00
2	A1	3.99	3.99	3.99	3.98
3	A2	3.98	3.97	4.00	3.97
4	A3	3.99	3.97	3.98	4.00
5	A4	3.98	3.98	3.98	4.00	4.00	3.99
6	A6	4.00	3.97	3.95	4.00
7	A7	3.93	3.91	3.91	3.94
8	A8	3.88	3.81	3.81	3.86
9	A9	3.80	3.82	3.82	3.82
10	A10	3.81	3.81	3.82	3.82
11	A11	3.87	3.85	3.83	3.84
12	A12	3.80	3.80	3.82	3.80
13	A13	3.81	3.82	3.81	3.82
14	B0	3.97	3.99	3.97	3.97
15	B1	4.00	4.00	3.99	3.97
16	B2	4.00	3.98	4.00	3.99
17	B3	3.99	4.00	3.98	4.00
18	B4	3.98	3.99	3.97	3.98
19	B5	3.99	3.97	3.99	3.99
20	B6	3.99	3.99	3.99	4.00
21	B7	4.00	3.98	3.99	4.00
22	B8	3.95	3.95	3.93	3.95
23	B9	3.87	3.87	3.87	3.88
24	B10	3.81	3.81	3.82	3.86
25	B11	3.82	3.81	3.80	3.83
26	C0	3.99	3.98	4.00	3.99
27	C1	3.98	3.98	3.99	3.99
28	C11	3.97	3.97	3.97	3.99
29	C12	3.99	3.97	3.97	3.99
30	C13	3.99	3.99	3.98	3.99
31	C14	3.99	3.97	3.99	3.97
32	C15	3.96	3.97	3.97	3.96
33	C16	3.87	3.86	3.87	3.88
34	C17	3.85	3.85	3.85	3.85
35	C18	3.82	3.82	3.81	3.82
36	C19	3.82	3.82	3.81	3.80
37	C20	3.83	3.81	3.82	3.81
38	C21	3.83	3.81	3.82	3.82
39	D0	3.99	3.98	3.97	3.99
40	D1	3.99	3.98	3.98	3.97
41	D2	3.98	4.00	3.99	3.98
42	D3	3.94	3.92	3.96	3.97
43	D4	3.93	3.92	3.93	3.94
44	D5	3.87	3.85	3.89	3.91
45	D6	3.83	3.83	3.84	3.86
46	D7	3.82	3.83	3.80	3.80
47	D8	3.81	3.81	3.82	3.82
48	D9	3.81	3.82	3.83	3.82
49	D10	3.80	3.80	3.83	3.81
50	D11	3.81	3.81	3.81	3.81
51	D12	3.82	3.81	3.82	3.82
52	D13	3.83	3.82	3.81	3.81
53	E0	3.98	3.93	3.96	3.99
54	E1	4.00	3.98	3.98	3.98
55	E2	4.00	3.97	3.94	3.97
56	E3	3.87	3.89	3.87	3.87
57	E4	3.84	3.88	3.84	3.80
58	E5	3.84	3.82	3.80	3.84
59	E6	3.83	3.82	3.83	3.82
60	E7	3.82	3.80	3.81	3.82
61	E8	3.81	3.81	3.81	3.82
62	E9	3.83	3.82	3.80	3.80
63	E10	3.81	3.81	3.82	3.83
64	E11	3.82	3.82	3.80	3.82
65	E12	3.82	3.83	3.80	3.82
66	E13	3.83	3.81	3.82	3.83
67	F0	3.96	3.93	3.91	3.96
68	F1	3.90	3.88	3.88	3.92
69	F2	3.81	3.81	3.81	3.82
70	F3	3.82	3.80	3.81	3.83
71	F4	3.82	3.81	3.83	3.83
72	F5	3.80	3.82	3.83	3.82
73	F6	3.81	3.82	3.82	3.82
74	F7	3.82	3.82	3.82	3.82
75	F8	3.81	3.80	3.82	3.80
76	F9	3.80	3.81	3.83	3.82
77	F10	3.81	3.81	3.83	3.81
78	F11	3.82	3.81	3.82	3.82
79	F12	3.81	3.82	3.82	3.82
80	F13	3.80	3.81	3.82	3.82
81	F14	3.83	3.82	3.81	3.80
82	F15	3.82	3.83	3.83	3.83
83	F16	3.80	3.82	3.80	3.81
