KeyRoiName	KeyRoiName	Value	PF
B10#2	C20#4	0.00	False
B10#3	A8#2	0.01	False
B10#3	B11#4	0.00	False
B10#4	A8#1	-0.03	False
B10#4	B9#3	-0.02	False
B11#1	B10#2	0.01	False
B11#1	C20#3	0.00	False
B11#2	C21#3	-0.01	False
B11#3	A12#2	0.00	False
B11#4	A10#1	0.01	False
B11#4	B10#3	0.00	False
C0#1	D0#4	0.00	False
C0#2	C1#1	0.00	False
C0#2	D1#4	0.01	False
C0#3	C1#4	0.01	False
C0#4	B0#1	0.01	False
C1#1	C0#2	0.00	False
C1#2	C11#1	0.01	False
C1#2	D2#4	0.00	False
C1#3	B1#1	0.00	False
C1#3	C11#4	0.01	False
C1#4	B0#2	0.00	False
C1#4	C0#3	-0.01	False
C11#1	C1#2	-0.01	False
C11#2	C12#1	-0.02	False
C11#2	D3#4	0.00	False
C11#3	B2#1	-0.03	False
C11#3	C12#4	-0.02	False
C11#4	B1#2	-0.01	False
C11#4	C1#3	-0.01	False
C12#1	C11#2	0.02	False
C12#2	C13#1	-0.01	False
C12#2	D4#4	0.04	False
C12#3	B3#1	-0.01	False
C12#3	C13#4	-0.02	False
C12#4	B2#2	0.02	False
C12#4	C11#3	0.02	False
C13#1	C12#2	0.01	False
C13#1	D4#4	0.05	False
C13#2	C14#1	0.00	False
C13#2	D5#4	0.08	False
C13#3	B4#1	-0.01	False
C13#3	C14#4	0.01	False
C13#4	B3#2	-0.01	False
C13#4	C12#3	0.02	False
C14#1	C13#2	0.00	False
C14#1	D5#4	0.08	False
C14#2	C15#1	0.02	False
C14#2	D5#3	0.08	False
C14#2	D6#4	0.11	False
C14#3	B5#1	-0.01	False
C14#3	C15#4	0.03	False
C14#4	B4#2	-0.02	False
C14#4	C13#3	-0.01	False
C15#1	C14#2	-0.02	False
C15#2	C16#1	0.10	False
C15#2	D7#4	0.17	False
C15#3	B6#1	-0.01	False
C15#3	C16#4	0.10	False
C15#4	B5#2	-0.01	False
C15#4	C14#3	-0.03	False
C16#1	C15#2	-0.10	False
C16#1	D7#4	0.07	False
C16#2	C17#1	0.01	False
C16#2	D7#3	0.06	False
C16#2	D8#4	0.04	False
C16#3	B7#1	-0.12	False
C16#3	C17#4	0.03	False
C16#4	B6#2	-0.12	False
C16#4	C15#3	-0.10	False
C17#1	C16#2	-0.01	False
C17#2	C18#1	0.03	False
C17#2	D9#4	0.04	False
C17#3	B8#1	-0.11	False
C17#3	C18#4	0.03	False
C17#4	B7#2	-0.14	False
C17#4	C16#3	-0.03	False
C18#1	C17#2	-0.03	False
C18#1	D9#4	0.00	False
C18#2	C19#1	0.00	False
C18#2	D9#3	0.00	False
C18#2	D10#4	0.02	False
C18#3	B9#1	-0.06	False
C18#3	C19#4	0.00	False
C18#4	B8#2	-0.13	False
C18#4	C17#3	-0.03	False
C19#1	C18#2	0.00	False
C19#2	C20#1	-0.01	False
C19#2	D11#4	0.00	False
C19#3	B10#1	0.00	False
C19#3	C20#4	0.01	False
C19#4	B9#2	-0.06	False
C19#4	C18#3	0.00	False
C20#1	C19#2	0.01	False
C20#2	C21#1	-0.02	False
C20#2	D12#4	-0.01	False
C20#3	B11#1	0.00	False
C20#3	C21#4	0.00	False
C20#4	B10#2	0.00	False
C20#4	C19#3	-0.01	False
C21#1	C20#2	0.02	False
C21#2	D13#3	0.00	False
C21#3	B11#2	0.01	False
C21#4	C20#3	0.00	False
D0#1	E0#4	0.00	False
D0#2	D1#1	-0.01	False
D0#2	E1#4	-0.01	False
D0#3	D1#4	0.00	False
D0#4	C0#1	0.00	False
D1#1	D0#2	0.01	False
D1#1	E1#3	0.01	False
D1#2	D2#1	0.00	False
D1#2	E2#4	0.02	False
D1#3	D2#4	0.00	False
D1#4	C0#2	-0.01	False
D1#4	D0#3	0.00	False
D2#1	D1#2	0.00	False
D2#1	E2#3	0.04	False
D2#2	D3#1	0.06	False
D2#2	E3#4	0.12	False
D2#3	D3#4	0.02	False
D2#4	C1#2	0.00	False
D2#4	D1#3	0.00	False
D3#1	D2#2	-0.06	False
D3#1	E3#3	0.07	False
D3#2	D4#1	-0.01	False
D3#2	E4#4	0.12	False
D3#3	D4#4	0.03	False
D3#4	C11#2	0.00	False
D3#4	D2#3	-0.02	False
D4#1	D3#2	0.01	False
D4#1	E4#3	0.09	False
D4#2	D5#1	0.06	False
D4#2	E5#4	0.09	False
D4#3	D5#4	0.02	False
D4#4	C12#2	-0.04	False
D4#4	C13#1	-0.05	False
D4#4	D3#3	-0.03	False
D5#1	D4#2	-0.06	False
D5#1	E5#3	0.07	False
D5#2	D6#1	0.02	False
D5#2	E6#4	0.03	False
D5#3	C14#2	-0.08	False
D5#3	D6#4	0.03	False
D5#4	C13#2	-0.08	False
D5#4	C14#1	-0.08	False
D5#4	D4#3	-0.02	False
D6#1	D5#2	-0.02	False
D6#1	E6#3	0.00	False
D6#2	D7#1	0.01	False
D6#2	E7#4	0.01	False
D6#3	D7#4	0.04	False
D6#4	C14#2	-0.11	False
D6#4	D5#3	-0.03	False
D7#1	D6#2	-0.01	False
D7#1	E7#3	0.00	False
D7#2	D8#1	0.02	False
D7#2	E8#4	0.01	False
D7#3	C16#2	-0.06	False
D7#3	D8#4	-0.01	False
D7#4	C15#2	-0.17	False
D7#4	C16#1	-0.07	False
D7#4	D6#3	-0.04	False
D8#1	D7#2	-0.02	False
D8#1	E8#3	0.00	False
D8#2	D9#1	0.01	False
D8#2	E9#4	0.01	False
D8#3	D9#4	0.00	False
D8#4	C16#2	-0.04	False
D8#4	D7#3	0.01	False
D9#1	D8#2	-0.01	False
D9#1	E9#3	0.01	False
D9#2	D10#1	0.02	False
D9#2	E10#4	-0.01	False
D9#3	C18#2	0.00	False
D9#3	D10#4	0.02	False
D9#4	C17#2	-0.04	False
D9#4	C18#1	0.00	False
D9#4	D8#3	0.00	False
D10#1	D9#2	-0.02	False
D10#1	E10#3	-0.02	False
D10#2	D11#1	-0.01	False
D10#2	E11#4	-0.01	False
D10#3	D11#4	0.02	False
D10#4	C18#2	-0.02	False
D10#4	D9#3	-0.02	False
D11#1	D10#2	0.01	False
D11#1	E11#3	0.01	False
D11#2	D12#1	-0.01	False
D11#2	E12#4	0.00	False
D11#3	D12#4	-0.01	False
D11#4	C19#2	0.00	False
D11#4	D10#3	-0.02	False
D12#1	D11#2	0.01	False
D12#1	E12#3	0.02	False
D12#2	D13#1	-0.02	False
D12#2	E13#4	-0.02	False
D12#3	D13#4	0.01	False
D12#4	C20#2	0.01	False
D12#4	D11#3	0.01	False
D13#1	D12#2	0.02	False
D13#2	E13#3	-0.01	False
D13#3	C21#2	0.00	False
D13#4	D12#3	-0.01	False
E0#1	F0#4	0.03	False
E0#2	E1#1	-0.07	False
E0#2	F0#3	0.02	False
E0#3	E1#4	-0.02	False
E0#4	D0#1	0.00	False
E1#1	E0#2	0.07	False
E1#1	F1#4	0.08	False
E1#2	E2#1	-0.02	False
E1#2	F1#3	0.10	False
E1#3	D1#1	-0.01	False
E1#3	E2#4	0.01	False
E1#4	D0#2	0.01	False
E1#4	E0#3	0.02	False
E2#1	E1#2	0.02	False
E2#1	F2#4	0.18	False
E2#2	E3#1	0.10	False
E2#2	F2#3	0.16	False
E2#2	F3#4	0.14	False
E2#3	D2#1	-0.04	False
E2#3	E3#4	0.07	False
E2#4	D1#2	-0.02	False
E2#4	E1#3	-0.01	False
E3#1	E2#2	-0.10	False
E3#1	F3#3	0.06	False
E3#1	F3#4	0.04	False
E3#2	E4#1	0.05	False
E3#2	F4#4	0.06	False
E3#3	D3#1	-0.07	False
E3#3	E4#4	0.07	False
E3#4	D2#2	-0.12	False
E3#4	E2#3	-0.07	False
E4#1	E3#2	-0.05	False
E4#1	F4#3	0.01	False
E4#2	E5#1	0.03	False
E4#2	F5#4	0.06	False
E4#3	D4#1	-0.09	False
E4#3	E5#4	0.01	False
E4#4	D3#2	-0.12	False
E4#4	E3#3	-0.07	False
E5#1	E4#2	-0.03	False
E5#1	F5#3	0.02	False
E5#2	E6#1	-0.01	False
E5#2	F6#3	0.00	False
E5#3	D5#1	-0.07	False
E5#3	E6#4	-0.02	False
E5#4	D4#2	-0.09	False
E5#4	E4#3	-0.01	False
E6#1	E5#2	0.01	False
E6#1	F6#3	0.01	False
E6#1	F7#4	0.01	False
E6#2	E7#1	0.00	False
E6#2	F7#3	-0.01	False
E6#3	D6#1	0.00	False
E6#3	E7#4	0.01	False
E6#4	D5#2	-0.03	False
E6#4	E5#3	0.02	False
E7#1	E6#2	0.00	False
E7#1	F8#4	0.02	False
E7#2	E8#1	0.00	False
E7#2	F8#3	-0.02	False
E7#3	D7#1	0.00	False
E7#3	E8#4	-0.01	False
E7#4	D6#2	-0.01	False
E7#4	E6#3	-0.01	False
E8#1	E7#2	0.00	False
E8#1	F9#4	-0.01	False
E8#2	E9#1	-0.02	False
E8#2	F10#4	-0.01	False
E8#3	D8#1	0.00	False
E8#3	E9#4	0.01	False
E8#4	D7#2	-0.01	False
E8#4	E7#3	0.01	False
E9#1	E8#2	0.02	False
E9#1	F10#3	0.00	False
E9#2	E10#1	0.00	False
E9#2	F11#4	0.00	False
E9#3	D9#1	-0.01	False
E9#3	E10#4	-0.03	False
E9#4	D8#2	-0.01	False
E9#4	E8#3	-0.01	False
E10#1	E9#2	0.00	False
E10#1	F11#3	-0.01	False
E10#2	E11#1	-0.01	False
E10#2	F12#4	-0.01	False
E10#3	D10#1	0.02	False
E10#3	E11#4	0.01	False
E10#4	D9#2	0.01	False
E10#4	E9#3	0.03	False
E11#1	E10#2	0.01	False
E11#1	F12#3	-0.01	False
E11#1	F13#4	0.00	False
E11#2	E12#1	0.00	False
E11#2	F13#3	0.00	False
E11#3	D11#1	-0.01	False
E11#3	E12#4	-0.01	False
E11#4	D10#2	0.01	False
E11#4	E10#3	-0.01	False
E12#1	E11#2	0.00	False
E12#1	F14#4	0.02	False
E12#2	E13#1	0.00	False
E12#2	F14#3	0.01	False
E12#3	D12#1	-0.02	False
E12#3	E13#4	-0.03	False
E12#4	D11#2	0.00	False
E12#4	E11#3	0.01	False
E13#1	E12#2	0.00	False
E13#1	F15#4	0.00	False
E13#2	F16#3	0.01	False
E13#3	D13#2	0.01	False
E13#4	D12#2	0.02	False
